text,label
data breach compromises systems at hospitals in ahmedabad,1
railways in ahmedabad reported weekend hackathon,0
ransomware attack in kolkata,1
software update during project work in hyderabad,0
team lunch during project work in kolkata,0
password leak targets mumbai defense,1
data breach attack in hyderabad,1
railways in chennai reported successful demo,0
banks in mumbai reported happy coding,0
railways in kolkata reported software update,0
railways in bangalore reported project meeting,0
ddos detected in ahmedabad affecting IT firms,1
defense in ahmedabad reported project meeting,0
team lunch at railways in pune,0
virus hits bangalore government,1
defense in delhi reported good morning,0
trojan detected in ahmedabad affecting telecom,1
data breach detected in pune affecting e-commerce,1
ransomware detected in pune affecting telecom,1
airports in mumbai reported team lunch,0
malware compromises systems at banks in hyderabad,1
exploit compromises systems at universities in delhi,1
training session in kolkata,0
backdoor targets bangalore telecom,1
trojan detected in kolkata affecting universities,1
spyware compromises systems at airports in chennai,1
airports in bangalore reported quiet day,0
password leak hits hyderabad railways,1
virus compromises systems at IT firms in hyderabad,1
phishing detected in pune affecting hospitals,1
hacked targets kolkata IT firms,1
team lunch held at kolkata for e-commerce employees,0
trojan compromises systems at railways in kolkata,1
ddos compromises systems at telecom in bangalore,1
weekend hackathon held at chennai for universities employees,0
delhi banks reports ransomware incident,1
defense in ahmedabad reported project meeting,0
password leak detected in hyderabad affecting government,1
exploit compromises systems at e-commerce in ahmedabad,1
weekend hackathon held at ahmedabad for defense employees,0
normal operations held at ahmedabad for universities employees,0
phishing detected in hyderabad affecting banks,1
airports in chennai reported tech conference,0
exploit detected in delhi affecting banks,1
data breach detected in bangalore affecting IT firms,1
malware compromises systems at IT firms in bangalore,1
exploit targets pune e-commerce,1
pune government reports trojan incident,1
password leak detected in mumbai affecting government,1
happy coding at telecom in mumbai,0
quiet day at hospitals in kolkata,0
normal operations during project work in kolkata,0
software update at universities in mumbai,0
quiet day in delhi,0
backdoor detected in mumbai affecting e-commerce,1
telecom in hyderabad reported happy coding,0
universities in hyderabad hit by exploit,1
cyberattack hits delhi railways,1
exploit hits bangalore hospitals,1
ransomware attack in kolkata,1
happy coding during project work in kolkata,0
backdoor attack in delhi,1
new app launch at hospitals in mumbai,0
hacked compromises systems at airports in delhi,1
successful demo during project work in chennai,0
pune banks reports backdoor incident,1
exploit attack in mumbai,1
normal operations at hospitals in hyderabad,0
good morning during project work in chennai,0
hospitals in delhi hit by virus,1
spyware hits ahmedabad banks,1
telecom in chennai reported software update,0
new app launch at railways in bangalore,0
happy coding held at chennai for defense employees,0
tech conference in hyderabad,0
pune railways reports backdoor incident,1
password leak detected in pune affecting IT firms,1
happy coding during project work in mumbai,0
normal operations held at chennai for universities employees,0
good morning in ahmedabad,0
airports in ahmedabad hit by data breach,1
new app launch held at delhi for defense employees,0
banks in mumbai hit by ddos,1
data breach targets kolkata government,1
password leak attack in chennai,1
new app launch held at mumbai for IT firms employees,0
happy coding held at delhi for defense employees,0
e-commerce in pune reported training session,0
project meeting during project work in bangalore,0
successful demo held at delhi for banks employees,0
good morning at telecom in ahmedabad,0
software update during project work in ahmedabad,0
e-commerce in hyderabad reported happy coding,0
hacked attack in ahmedabad,1
data breach attack in mumbai,1
telecom in ahmedabad reported successful demo,0
IT firms in ahmedabad reported good morning,0
malware detected in delhi affecting banks,1
hospitals in bangalore reported project meeting,0
project meeting held at bangalore for defense employees,0
tech conference in chennai,0
defense in bangalore reported normal operations,0
happy coding at banks in ahmedabad,0
e-commerce in kolkata hit by data breach,1
government in delhi reported happy coding,0
new app launch at telecom in chennai,0
trojan hits ahmedabad government,1
ransomware targets bangalore IT firms,1
railways in hyderabad hit by data breach,1
hyderabad defense reports virus incident,1
pune banks reports password leak incident,1
new app launch held at mumbai for airports employees,0
spyware compromises systems at universities in delhi,1
quiet day at government in mumbai,0
trojan compromises systems at hospitals in kolkata,1
training session during project work in kolkata,0
training session during project work in delhi,0
exploit hits chennai government,1
malware hits mumbai universities,1
exploit detected in bangalore affecting hospitals,1
defense in ahmedabad reported tech conference,0
virus compromises systems at airports in mumbai,1
team lunch during project work in delhi,0
kolkata government reports exploit incident,1
team lunch in mumbai,0
normal operations held at hyderabad for universities employees,0
team lunch held at ahmedabad for telecom employees,0
universities in chennai reported training session,0
happy coding during project work in hyderabad,0
exploit targets ahmedabad government,1
training session during project work in ahmedabad,0
software update during project work in chennai,0
project meeting at banks in kolkata,0
malware compromises systems at defense in hyderabad,1
project meeting during project work in hyderabad,0
virus attack in pune,1
ddos targets chennai airports,1
